;country;Gender;Age;Marital status;Stratum Urban;HM25_1;Natur of work;Level of Wealth;Fathers level education;Parent_affiliated_with Social Security;Participation in elections;Freedom to speach out about government;Resort to nepotism;Trust in Parliment;Trust in employers;Trust in associations;Trust in political_parties;Political system;Formality
0;EG;Male;25+;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Oui;Completel;No;Non;yes;yes;Oui;Oui;formal
1;DZ;Female;25+;Never Mar;Urban;Secondary;non manua;No;Middle;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
2;EG;Male;25+;Never Mar;Urban;Secondary;non manua;No;Middle;Yes;Oui;Not at al;No;Non;No;No;Oui;Non;formal
3;TN;Female;25+;Ever Marr;Urban;Higher;non manua;No;Higher;Yes;Oui;Not at al;No;Non;No;No;Non;Non;formal
4;TN;Male;25+;Never Mar;Urban;Secondary;non manua;No;Secondary;No;Non;Not at al;No;Non;No;No;Non;Non;formal
5;LB;Male;25+;Never Mar;Urban;Higher;non manua;No;Secondary;No;Non;Not at al;Yes;Non;yes;yes;Oui;Non;formal
6;LB;Male;25+;Ever Marr;Urban;Secondary;manual t;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Non;Non;formal
7;DZ;Female;25+;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
9;EG;Male;25+;Ever Marr;Rural;Secondary;manual t;No;Primary;Yes;Oui;Not at al;No;Non;yes;No;Non;Non;formal
10;LB;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;Yes;Non;yes;yes;Non;Non;formal
12;LB;Female;25+;Never Mar;Urban;Secondary;non manua;No;Primary;No;Non;Not at al;No;Non;yes;yes;Non;Non;formal
13;DZ;Male;20 - 24;Never Mar;Rural;Middle;non manua;No;Secondary;Yes;Non;Completel;Yes;Non;yes;yes;Non;Non;formal
14;DZ;Female;20 - 24;Never Mar;Urban;Middle;manual t;No;Primary;Yes;Oui;Not at al;No;Non;No;No;Oui;Oui;formal
15;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;formal
16;LB;Male;25+;Never Mar;Urban;Secondary;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
17;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Higher;No;Non;Not at al;Yes;Non;yes;yes;Non;Oui;formal
