;country;Gender;Age;Marital status;Stratum Urban;HM25_1;Natur of work;Level of Wealth;Fathers level education;Parent_affiliated_with Social Security;Participation in elections;Freedom to speach out about government;Resort to nepotism;Trust in Parliment;Trust in employers;Trust in associations;Trust in political_parties;Political system;Formality
2303;EG;Male;25+;Ever Marr;Urban;Higher;non manua;No;Primary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
239;LB;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;Middle;No;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
2226;EG;Male;25+;Ever Marr;Rural;Primary;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
887;LB;Male;20 - 24;Never Mar;Urban;Middle;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;formal
2591;EG;Male;25+;Never Mar;Rural;Higher;manual t;No;No educati;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1301;TN;Female;<= 19;Never Mar;Rural;Middle;non manua;No;Middle;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
2650;LB;Male;25+;Ever Marr;Urban;Secondary;non manua;No;Middle;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
2978;DZ;Male;<= 19;Never Mar;Rural;Middle;non manua;No;No educati;No;Non;Completel;No;Non;yes;yes;Oui;Oui;informal
1373;DZ;Male;20 - 24;Never Mar;Urban;Higher;manual t;Yes;Secondary;Yes;Non;Completel;Yes;Non;yes;yes;Non;Non;informal
1412;DZ;Male;20 - 24;Never Mar;Urban;Higher;manual t;No;Secondary;Yes;Oui;Completel;No;Non;yes;No;Oui;Oui;informal
310;LB;Male;25+;Ever Marr;Urban;Middle;non manua;Yes;Middle;No;Non;Not at al;No;Non;yes;yes;Oui;Non;formal
579;LB;Male;25+;Ever Marr;Rural;Higher;non manua;No;No educati;Yes;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
1477;LB;Male;25+;Ever Marr;Rural;Primary;non manua;No;No educati;No;Non;Not at al;No;Non;yes;yes;Non;Non;informal
